date,prices,market_caps,total_volumes
2019-01-05,50.576358098753026,844475058.3830155,574915669.4803066
2019-01-06,50.29497610497572,839245213.268192,816585813.5983874
2019-01-07,54.90067011058837,916096967.7300024,586272509.140541
2019-01-08,53.07870880243153,885637271.2913799,399527610.80653566
2019-01-09,52.708264484355134,880180557.3740381,25604347.659884382
2019-01-10,51.817757235891044,865591524.6978264,133097581.9282805
2019-01-11,45.127783526384846,753915380.5871687,337667519.6435256
2019-01-12,45.758164831019826,762171452.2642924,78110598.72401102
2019-01-13,44.64390227885135,745451150.5558419,49889839.057361715
2019-01-14,42.938476188411855,716964645.3032877,100228248.52147956
2019-01-15,45.32603333387708,757599168.9457102,38303760.38638503
2019-01-16,44.64828350753868,737795449.5984899,38539837.496071175
2019-01-17,45.94851766437199,765791038.0962949,332448219.0255987
2019-01-18,45.004642142288944,752774785.0144461,262213435.13371682
2019-01-19,44.43925797931016,743599661.4457402,463840411.8086998
2019-01-20,45.43444419877883,760172711.1233302,109621673.28267129
2019-01-21,43.60572702479948,730061123.8819089,179739925.57860833
2019-01-22,43.64628853295377,730545463.3670323,227501539.6746856
2019-01-23,45.25339146634326,757693255.5228518,245898475.25428975
2019-01-24,44.52796330558295,745159300.2263999,233445056.39418224
2019-01-25,45.06111474033092,754780735.0868263,54189767.33918784
2019-01-26,46.03193601547981,770884125.5425161,38169308.210021265
2019-01-27,45.109566178539126,755545615.3571486,236012879.41315913
2019-01-28,46.1065115855478,772627615.1215304,651474620.4895948
2019-01-29,43.09743886852736,722047149.8458145,33154681.900112428
2019-01-30,42.784724050323526,716904620.2627325,545669855.6199876
2019-01-31,43.59615412141843,730611289.6391488,254468827.45157656
2019-02-01,43.040840926016,721401952.7216717,148066492.6168832
2019-02-02,42.815458575092634,717720381.8131262,41733817.60837777
2019-02-03,42.308412841884945,705433320.8776627,462578131.41498864
2019-02-04,42.50309412105778,712874241.6740298,74410781.24355738
2019-02-05,42.79275664294412,717473634.4891038,14580532.938648723
2019-02-06,42.83963689800751,718535575.2511904,43627833.13836659
2019-02-07,42.89401151131049,719548453.114819,48380742.83350596
2019-02-08,42.90421899438197,719814151.7422614,64979231.79438646
2019-02-09,47.58255350423226,797383315.2648433,35905429.412521996
2019-02-10,48.361349515326026,811388819.7559457,17021173.50821002
2019-02-11,48.898642761602304,820673578.8977283,54781500.43221986
2019-02-12,46.98010982320861,788625551.0260046,54174798.39073782
2019-02-13,48.05410495501995,806725533.6031506,75014436.40543206
2019-02-14,48.560241131513926,815366767.9401417,108910218.06719412
2019-02-15,46.27103136452809,779266371.9422673,74912646.8565456
2019-02-16,46.67002980465346,783841695.3376435,88966792.34843902
2019-02-17,46.56223905283507,782192489.400339,59277663.65773378
2019-02-18,47.375919321260724,795190371.800017,89778012.80228157
2019-02-19,51.06812077478147,858060585.2902845,53881921.89898528
2019-02-20,50.9156411976996,859899884.0779748,109882918.38717401
2019-02-21,51.458927873408214,865682549.2831903,56171278.193446524
2019-02-22,49.097964373255245,824660070.6249212,100549047.35196547
2019-02-23,50.92675928580823,856149887.5293188,108522148.82337645
2019-02-24,52.23655678585538,878281599.9589685,161669723.9725193
2019-02-25,47.24169440152796,797609363.0572326,170708962.39044052
2019-02-26,48.09133523707528,808799523.8210473,147611392.56101435
2019-02-27,47.87553714094577,805277543.4408886,202429118.0122229
2019-02-28,48.55155772509287,818393353.4620179,165924777.12524873
2019-03-01,47.41781935890795,797792073.9722741,172255131.17293447
2019-03-02,47.92451275011652,806658330.1552289,78619854.7105069
2019-03-03,47.992204277654665,807670642.1735636,179871609.6459827
2019-03-04,48.312171450754526,813153610.0565894,142099664.560269
2019-03-05,46.70154063647244,786159725.9081492,263721476.23786983
2019-03-06,48.39478114220411,817411197.0861264,182498324.746756
2019-03-07,48.685051422549975,819247012.6009035,328509174.7828483
2019-03-08,49.08835984751612,826160454.99552,187605952.79036072
2019-03-09,48.1070576692793,810392626.942676,286367912.3734877
2019-03-10,49.58448834407671,835129584.4637917,52266787.62649629
2019-03-11,48.62344272169747,819986453.3375733,346568715.4324356
2019-03-12,48.73689575961509,821801192.6044998,342927167.1221184
2019-03-13,49.601945944105076,835121794.1006936,257847256.92460653
2019-03-14,49.9679305448807,841179686.8916568,510630026.8574474
2019-03-15,50.46439424787571,850210196.5021458,160762113.03751084
2019-03-16,52.024120496621386,876888523.8411617,47452391.75839675
2019-03-17,53.07793729458049,894812818.1277564,425558197.5330693
2019-03-18,51.722899387926624,872134231.5179389,324290313.207911
2019-03-19,51.713934694389934,872037545.1500516,303905402.9029825
2019-03-20,52.67120096905781,887982217.0233537,373024427.1545478
2019-03-21,54.48642137285978,918972135.0831677,234935036.5952621
2019-03-22,52.2979279669044,882224015.3139598,250242717.37191975
2019-03-23,52.610479278435065,887585881.7095878,243531205.0253879
2019-03-24,52.38091044523109,882787058.6056039,143114782.3155576
2019-03-25,52.59743638464676,887676505.7762821,218885904.0970811
2019-03-26,51.46041852700248,868735762.3616903,370258288.3895055
2019-03-27,52.04028273040555,876239946.94819,247306642.16264892
2019-03-28,52.856543888016944,895090749.4723557,298489718.0064709
2019-03-29,52.71197327162696,889945391.3512775,329038769.7311883
2019-03-30,53.445753993768584,900057322.6507558,281536743.5179724
2019-03-31,53.37137107191935,900981049.5856082,167416143.6808592
2019-04-01,55.656445175197895,939096468.2115973,283431651.4167273
2019-04-02,60.62459775617168,1024060579.2804333,374644595.54613703
2019-04-03,68.62820378304198,1166679317.4615238,195263732.62131062
2019-04-04,66.30019363267945,1125991471.7535164,242202275.8786711
2019-04-05,63.70382233135388,1077017060.9444637,205490167.65866137
2019-04-06,68.27491720156436,1153941122.5662444,284040149.0749325
2019-04-07,67.922666287525,1149249443.3551137,279692604.06333506
2019-04-08,69.5304937655791,1173711406.3340554,276618925.7408039
2019-04-09,71.15442806096515,1202499410.8120668,223117252.07877025
2019-04-10,68.8325899889771,1169296015.6564007,189968612.3986568
2019-04-11,70.82528351206939,1198564701.2299013,134175496.9218469
2019-04-12,67.18546122749662,1136754450.4431324,248603949.07712725
2019-04-13,66.01111951501959,1115902314.3656733,127561080.6297446
2019-04-14,65.19802996879564,1102834708.2056189,109210765.26273118
2019-04-15,66.52982269806915,1135647018.6733208,122354390.50116615
2019-04-16,64.13803285997959,1102389313.1275475,103828921.65889697
2019-04-17,69.37587492574494,1173496939.2270615,281625400.4738264
2019-04-18,68.27571500546024,1137804383.6354096,296512233.4104897
