date,bitcoin_market_caps,ethereum_market_caps,tether_market_caps,ripple_market_caps,solana_market_caps,terra-luna_market_caps,cardano_market_caps,avalanche-2_market_caps,stellar_market_caps,monero_market_caps
2019-04-06,88332459637.7143,17415767438.96335,2063645670.2577176,15119619889.479095,8488446183.42694,185924573.92975745,2808480733.0355425,28053866214.00539,2432556569.7769175,1153941122.5662444
2019-04-07,88955701285.46048,17431813826.27367,2052047755.084336,14751663676.733376,7712932810.684437,245750471.87531734,2794006323.4093633,28049258088.50606,2393277265.9717016,1149249443.3551137
2019-04-08,91102196906.19292,18330615695.15078,2063283127.9854484,14971247730.613243,7168957057.321149,225918768.74407127,2792824469.711656,27782515406.119434,2508238092.1330366,1173711406.3340554
2019-04-09,92817357385.16908,19005528101.207676,2066844547.3343325,14952285303.88718,7314497718.903992,238444602.34944734,2697332324.8271747,26284042907.775055,2539254239.868262,1202499410.8120668
2019-04-10,91255525157.87743,18514941900.58221,2064883436.7964501,14568207806.754398,7331794881.762145,225420540.24149612,2593699164.399162,25093309921.49222,2403916700.680622,1169296015.6564007
2019-04-11,93646653914.38365,18738487750.9329,2059702912.016333,14822938546.774567,6774142705.91918,224016999.23188826,2791934582.174268,24667095817.441307,2429905166.2185707,1198564701.2299013
2019-04-12,89079171479.86378,17442825237.19966,2064188994.878883,13794801321.963398,6500208589.083082,220770810.61937454,2587364008.2123804,26870290075.549736,2245175066.049164,1136754450.4431324
2019-04-13,89668931907.92058,17386399385.122326,2064796842.6238427,13638818283.867538,7243897344.253764,258840551.98772243,2584989096.795034,27759632698.089516,2227204408.9586678,1115902314.3656733
2019-04-14,89473995793.9539,17327865226.321712,2064081210.2217023,13590031721.840157,7561860534.399218,243641000.7677301,2589719878.511384,27631018651.5587,2225713906.8655605,1102834708.2056189
2019-04-15,90952758268.0811,17700075886.552334,2067703310.2835479,13698171139.896444,7713349030.470103,243319651.8264917,2620859359.204832,26456464798.88434,2256378484.9989624,1135647018.6733208
2019-04-16,89148028192.09521,16995977336.81406,2061673213.1570573,13424535740.112926,7794117620.737434,218454774.9995757,2557136226.9919124,25697775175.187897,2187176919.7017765,1102389313.1275475
2019-04-17,91835875597.91147,17609171351.003345,2065850646.7347767,13680409703.54894,7718142916.945531,222704992.84153908,2591965875.9176793,24044737449.47953,2248405585.573512,1173496939.2270615
2019-04-18,92156851198.58777,17588516336.63911,2065512822.9429836,14055604800.81118,7706970297.480305,187161090.29361975,2576223755.815706,23404042346.930237,2252827711.759422,1137804383.6354096
