date,tether,ripple,isPartial
2022-01-28 07:00:00,8,62,False
2022-01-28 08:00:00,17,36,False
2022-01-28 09:00:00,13,50,False
2022-01-28 10:00:00,16,52,False
2022-01-28 11:00:00,12,39,False
2022-01-28 12:00:00,17,54,False
2022-01-28 13:00:00,21,46,False
2022-01-28 14:00:00,23,36,False
2022-01-28 15:00:00,15,51,False
2022-01-28 16:00:00,25,47,False
2022-01-28 17:00:00,13,35,False
2022-01-28 18:00:00,23,69,False
2022-01-28 19:00:00,9,21,False
2022-01-28 20:00:00,28,42,False
2022-01-28 21:00:00,24,63,False
2022-01-28 22:00:00,22,69,False
2022-01-28 23:00:00,17,43,False
2022-01-29 00:00:00,26,48,False
2022-01-29 00:00:00,28,52,False
2022-01-29 01:00:00,34,44,False
2022-01-29 02:00:00,25,40,False
2022-01-29 03:00:00,45,71,False
2022-01-29 04:00:00,0,51,False
2022-01-29 05:00:00,10,37,False
2022-01-29 06:00:00,25,77,False
2022-01-29 07:00:00,9,58,False
2022-01-29 08:00:00,40,58,False
2022-01-29 09:00:00,4,21,False
2022-01-29 10:00:00,28,33,False
2022-01-29 11:00:00,27,50,False
2022-01-29 12:00:00,10,57,False
2022-01-29 13:00:00,23,43,False
2022-01-29 14:00:00,16,57,False
2022-01-29 15:00:00,18,59,False
2022-01-29 16:00:00,30,58,False
2022-01-29 17:00:00,16,79,False
2022-01-29 18:00:00,16,40,False
2022-01-29 19:00:00,14,76,False
2022-01-29 20:00:00,25,48,False
2022-01-29 21:00:00,19,51,False
2022-01-29 22:00:00,29,90,False
2022-01-29 23:00:00,37,47,False
2022-01-30 00:00:00,29,49,False
2022-01-30 01:00:00,25,41,False
2022-01-30 02:00:00,20,75,False
2022-01-30 03:00:00,10,52,False
2022-01-30 04:00:00,26,54,False
2022-01-30 05:00:00,38,77,False
2022-01-30 06:00:00,21,70,False
2022-01-30 07:00:00,45,56,False
2022-01-30 08:00:00,22,36,False
2022-01-30 09:00:00,13,39,False
2022-01-30 10:00:00,12,37,False
2022-01-30 11:00:00,19,32,False
2022-01-30 12:00:00,18,59,False
2022-01-30 13:00:00,34,61,False
2022-01-30 14:00:00,12,38,False
2022-01-30 15:00:00,12,24,False
2022-01-30 16:00:00,24,30,False
2022-01-30 17:00:00,15,63,False
2022-01-30 18:00:00,22,59,False
2022-01-30 19:00:00,37,48,False
2022-01-30 20:00:00,35,63,False
2022-01-30 21:00:00,34,65,False
2022-01-30 22:00:00,29,75,False
2022-01-30 23:00:00,27,54,False
2022-01-31 00:00:00,23,69,False
2022-01-31 01:00:00,14,14,False
2022-01-31 02:00:00,14,41,False
